gene_ID,dmso,drb,flavopiridol,triptolide
AALF000001-RA,0,0,0,0
AALF000002-RA,0,0,0,0
AALF000003-RA,0,0,0,0
AALF000004-RA,0,0,0,0
AALF000005-RA,2,2,2,1
AALF000006-RA,2,4,1,0
AALF000009-RA,0,0,1,0
AALF000010-RA,17,9,8,8
AALF000011-RA,0,0,1,0
AALF000015-RA,0,0,0,0
AALF000016-RA,1,1,0,3
AALF000018-RA,0,0,0,0
AALF000019-RA,0,0,0,2
AALF000021-RA,0,0,0,0
AALF000023-RA,0,3,0,4
AALF000024-RA,6,2,2,3
AALF000028-RA,21,3,6,7
AALF000029-RA,0,0,0,0
AALF000030-RA,18,13,1,7
AALF000031-RA,0,0,0,0
AALF000032-RA,0,0,0,1
AALF000035-RA,1,0,0,0
AALF000052-RA,0,0,0,0
AALF000053-RA,0,0,0,0
AALF000054-RA,0,2,1,3
AALF000058-RA,0,0,0,0
AALF000066-RA,1,0,2,0
AALF000067-RA,5,1,1,5
AALF000068-RA,51,39,24,38
AALF000070-RA,14,2,4,6
AALF000071-RA,8,23,24,19
AALF000072-RA,1,0,0,0
AALF000076-RA,0,1,0,1
AALF000077-RA,1,3,0,0
AALF000078-RA,0,0,0,0
AALF000079-RA,0,0,0,0
AALF000084-RA,0,0,0,0
AALF000085-RA,0,0,0,0
AALF000086-RA,0,0,0,0
AALF000087-RA,0,0,0,0
AALF000088-RA,0,0,0,0
AALF000089-RA,25,23,18,16
AALF000091-RA,0,0,0,1
AALF000093-RA,0,0,0,0
AALF000094-RA,0,1,0,0
AALF000101-RA,15,24,11,26
AALF000102-RA,74,116,75,78
AALF000103-RA,64,49,43,37
AALF000104-RA,106,108,85,99
AALF000105-RA,36,18,6,13
AALF000106-RA,0,1,0,0
AALF000107-RA,164,147,125,134
AALF000108-RA,24,31,13,2
AALF000109-RA,1,0,0,0
AALF000112-RA,1051,1423,1020,1411
AALF000113-RA,0,0,1,0
AALF000114-RA,17,5,3,5
AALF000118-RA,0,0,0,1
AALF000121-RA,1,3,2,1
AALF000122-RA,4,0,3,0
AALF000123-RA,97,92,89,89
AALF000124-RA,84,77,64,95
AALF000125-RA,4,0,1,2
AALF000126-RA,2,0,0,1
AALF000127-RA,3,3,4,3
AALF000128-RA,1,0,0,0
AALF000142-RA,2,5,1,2
AALF000143-RA,0,0,0,3
AALF000144-RA,3,2,0,4
AALF000149-RA,1,0,2,1
AALF000151-RA,0,0,0,0
AALF000152-RA,0,0,0,0
AALF000158-RA,70,58,29,50
AALF000163-RA,0,0,0,0
AALF000164-RA,0,0,0,0
AALF000165-RA,0,0,0,0
AALF000184-RA,2,2,1,0
AALF000185-RA,15,12,13,15
AALF000186-RA,12,8,6,3
AALF000189-RA,2,2,0,1
AALF000193-RA,44,12,9,4
AALF000203-RA,13,1,5,3
AALF000205-RA,0,0,0,0
AALF000207-RA,0,1,0,0
AALF000208-RA,1,2,1,2
AALF000218-RA,0,0,0,1
AALF000219-RA,0,0,0,0
AALF000220-RA,6,6,4,6
AALF000221-RA,0,0,1,0
AALF000223-RA,3,4,4,4
AALF000224-RA,7,1,2,0
AALF000225-RA,0,0,0,0
AALF000226-RA,22,12,11,6
AALF000228-RA,13,6,4,3
AALF000237-RA,18,7,4,10
AALF000243-RA,21,17,11,1
AALF000245-RA,72,30,18,13
AALF000246-RA,1,3,0,1
AALF000247-RA,84,77,75,84
AALF000248-RA,15,1,2,2
AALF000265-RA,6,0,2,0
AALF000266-RA,57,39,16,38
AALF000267-RA,212,315,229,273
AALF000271-RA,0,0,0,0
AALF000272-RA,0,1,0,0
AALF000273-RA,4,54,59,0
AALF000277-RA,79,96,69,83
AALF000278-RA,0,0,0,0
AALF000279-RA,250,252,190,227
AALF000282-RA,0,0,0,0
AALF000283-RA,0,0,0,0
AALF000284-RA,0,0,0,0
AALF000285-RA,2,0,0,0
AALF000287-RA,0,0,0,0
AALF000301-RA,0,0,1,2
AALF000302-RA,0,0,0,0
AALF000303-RA,0,4,3,1
AALF000306-RA,8,8,4,6
AALF000312-RA,57,21,14,15
AALF000313-RA,0,0,0,0
AALF000314-RA,18,24,10,12
AALF000315-RA,0,0,2,1
AALF000316-RA,0,0,0,0
AALF000322-RA,7,4,1,6
AALF000323-RA,33,50,45,52
AALF000324-RA,0,1,1,2
AALF000330-RA,2,3,0,0
AALF000338-RA,17,12,16,14
AALF000339-RA,8,3,2,2
AALF000340-RA,49,42,31,50
AALF000342-RA,2,0,2,3
AALF000343-RA,27,36,11,25
AALF000344-RA,63,29,31,33
