gene_id,s_dmso,s_drb_1,s_flavopiridol_2,s_triptolide_3
AALF000001,0,0,0,1
AALF000002,0,0,0,0
AALF000003,0,0,0,0
AALF000004,0,0,0,0
AALF000005,59,55,21,26
AALF000006,0,0,1,0
AALF000008,0,0,0,0
AALF000009,0,0,0,0
AALF000010,47,31,22,26
AALF000011,0,0,0,0
AALF000013,0,0,0,0
AALF000014,0,0,0,0
AALF000015,0,0,0,0
AALF000016,0,0,0,0
AALF000017,0,0,0,0
AALF000018,0,4,0,5
AALF000019,0,0,0,0
AALF000020,0,0,0,0
AALF000021,0,0,0,0
AALF000022,2,0,0,0
AALF000023,1,4,2,5
AALF000024,3,5,1,0
AALF000026,0,0,0,0
AALF000027,0,0,0,0
AALF000028,211,58,59,108
AALF000029,0,0,0,0
AALF000030,39,36,20,22
AALF000031,0,2,0,0
AALF000032,23,20,13,6
AALF000035,0,0,0,0
AALF000039,13,3,1,3
AALF000040,0,0,0,0
AALF000041,0,0,0,0
AALF000044,0,0,0,4
AALF000045,0,0,0,0
AALF000046,0,0,0,0
AALF000052,65,36,14,14
AALF000053,1,0,0,0
AALF000054,0,0,0,0
AALF000055,29,11,3,3
AALF000057,0,2,1,1
AALF000058,0,0,0,0
AALF000065,154,172,59,17
AALF000066,39,7,12,0
AALF000067,254,79,43,70
AALF000068,215,127,96,125
AALF000070,201,121,60,62
AALF000071,9,0,2,0
AALF000072,35,9,9,3
AALF000076,0,1,0,1
AALF000077,3,7,2,0
AALF000078,0,0,0,0
AALF000079,0,0,0,0
AALF000084,0,0,0,0
AALF000085,0,0,0,0
AALF000086,0,0,0,0
AALF000087,0,0,0,0
AALF000088,0,0,0,0
AALF000089,94,89,65,81
AALF000091,0,5,0,3
AALF000093,0,0,0,0
AALF000094,0,0,0,0
AALF000101,423,375,431,626
AALF000102,135,215,142,171
AALF000103,440,286,247,299
AALF000104,187,199,159,163
AALF000105,291,94,80,96
AALF000106,0,1,0,0
AALF000107,472,446,343,430
AALF000108,333,286,213,31
AALF000109,5,1,1,10
AALF000112,3847,5754,3879,5249
AALF000113,82,20,7,14
AALF000114,358,196,150,140
AALF000118,1,0,0,2
AALF000119,0,0,0,0
AALF000120,1662,2103,1355,1777
AALF000121,64,29,10,16
AALF000122,16,1,4,0
AALF000123,380,332,289,376
AALF000124,54,33,24,8
AALF000125,71,20,18,16
AALF000126,1,0,0,0
AALF000127,0,0,0,0
AALF000128,1,0,0,0
AALF000129,2,1,1,4
AALF000130,0,0,0,0
AALF000131,0,0,0,0
AALF000142,10,33,17,16
AALF000143,2,7,6,8
AALF000144,6,4,1,5
AALF000149,0,0,0,0
AALF000151,0,0,1,0
AALF000152,0,1,6,2
AALF000153,1,0,0,0
AALF000158,201,179,93,145
AALF000161,0,0,0,0
AALF000163,0,0,0,0
AALF000164,0,0,0,0
AALF000165,0,0,0,0
AALF000183,160,70,48,64
AALF000184,126,79,42,74
AALF000185,304,294,183,283
AALF000186,67,11,44,14
AALF000189,1,2,0,1
AALF000191,0,0,0,0
AALF000193,410,190,98,73
AALF000203,111,63,37,14
AALF000205,0,0,0,0
AALF000207,0,1,0,0
AALF000208,9,8,4,13
AALF000218,1,0,0,0
AALF000219,0,0,0,0
AALF000220,109,81,51,86
AALF000221,0,0,0,0
AALF000223,40,30,34,30
AALF000224,118,17,25,11
AALF000225,0,0,0,0
AALF000226,177,116,86,89
AALF000228,111,23,18,24
AALF000237,6,6,3,7
AALF000243,142,205,113,11
AALF000244,0,0,0,0
AALF000245,461,143,114,65
AALF000246,2,8,0,2
AALF000247,1885,1872,1527,1901
AALF000248,96,22,11,12
AALF000255,0,0,0,0
AALF000265,29,4,12,6
AALF000266,141,98,50,72
AALF000267,1248,1927,1307,1622
AALF000268,0,0,0,0
AALF000271,0,0,0,0
AALF000272,2,0,1,0
AALF000273,38,689,655,0
AALF000274,1,0,0,1
AALF000275,0,0,0,0
AALF000277,174,208,148,190
AALF000278,2,1,0,0
AALF000279,1504,1413,1121,1478
AALF000280,0,0,0,0
AALF000281,0,0,0,0
AALF000282,0,0,0,1
AALF000283,0,0,0,0
AALF000284,0,0,0,0
AALF000285,0,0,1,0
AALF000286,0,0,0,0
AALF000287,0,0,0,0
AALF000288,0,0,0,0
AALF000296,0,0,0,0
AALF000301,29,16,11,9
AALF000302,0,0,0,0
AALF000303,25,10,19,6
AALF000304,52,7,22,9
AALF000306,12,22,10,12
AALF000311,0,0,0,0
AALF000312,25,14,7,1
AALF000313,12,9,4,6
AALF000314,78,98,57,62
AALF000315,0,0,0,0
AALF000316,0,0,0,0
AALF000322,54,22,19,29
AALF000323,265,287,224,245
AALF000324,62,27,24,29
AALF000330,0,0,0,0
AALF000338,10,18,20,26
AALF000339,67,22,19,15
AALF000340,144,150,94,132
AALF000341,16,4,2,0
AALF000342,7,13,4,8
AALF000343,289,226,146,203
AALF000344,47,22,22,25
AALF000345,114,99,65,53
AALF000346,0,0,0,0
AALF000347,0,0,0,0
AALF000348,0,0,0,0
AALF000349,0,0,0,0
AALF000354,31,20,3,3
AALF000357,22,1,2,1
AALF000358,91,8,20,8
AALF000359,383,146,126,152
AALF000360,6,2,3,2
AALF000361,86,82,42,53
AALF000362,5,3,2,3
AALF000363,8,14,9,10
AALF000364,8,0,3,0
AALF000368,4,0,0,0
AALF000369,113,68,48,72
AALF000370,16,9,4,1
AALF000371,284,173,144,17
AALF000377,16,8,10,5
AALF000378,72,86,45,79
AALF000379,8,5,3,0
AALF000385,40,18,17,20
AALF000386,203,54,49,45
AALF000387,41,14,15,16
AALF000388,790,510,206,293
AALF000389,27,25,14,7
AALF000390,2,2,5,3
AALF000391,0,0,0,0
AALF000392,4,68,77,0
AALF000393,109,27,13,16
AALF000394,66,8,3,3
AALF000395,346,472,334,385
AALF000396,98,55,44,47
AALF000397,4,0,2,0
AALF000400,0,0,0,0
AALF000401,0,0,0,0
AALF000405,193,38,28,9
AALF000406,147,6,8,11
AALF000407,64,6,6,4
AALF000408,10,14,2,2
AALF000413,144,23,31,13
AALF000414,54,10,4,13
AALF000415,10,3,2,1
AALF000416,6,0,2,1
AALF000417,24,7,1,3
AALF000418,83,41,42,49
AALF000419,4,19,10,24
AALF000420,0,0,0,0
AALF000421,1,1,0,1
AALF000422,3,1,6,2
AALF000423,0,0,0,0
AALF000424,1,1,5,3
AALF000426,0,0,0,0
AALF000431,759,362,243,344
AALF000432,2,0,0,2
AALF000433,1,0,0,0
AALF000437,0,0,0,0
AALF000438,0,0,0,0
AALF000439,0,0,0,0
AALF000440,0,0,0,0
AALF000442,1,0,1,0
AALF000443,27,5,1,8
AALF000446,0,0,0,0
AALF000451,0,0,0,0
AALF000453,1,0,0,0
