Gene_ID,Name,s_dmso,s_drb_1,s_flavopiridol_2,s_triptolide_3
AALF000001,,0,0,0,0
AALF000002,,0,0,0,0
AALF000003,,0,0,0,0
AALF000004,,0,0,0,0
AALF000005,,4.13,3.6,1.98,1.98
AALF000006,,0,0,0,0
AALF000008,,2.04,1.34,0,1.84
AALF000009,,0,0,0,0
AALF000010,,18.79,11.54,13.62,12.19
AALF000011,,0,0,0,0
AALF000013,,0,0,0,0
AALF000014,,0,0,0,0
AALF000015,,0,0,0,0
AALF000016,,0,0,0,0
AALF000017,,6.04,1.76,5.57,5.32
AALF000018,,0,0.66,0,1.06
AALF000019,,0,0.51,0,0
AALF000020,sosie,0,0,0,0
AALF000021,,0,0,0,0
AALF000022,,0.74,0,0,0
AALF000023,,8.28,15.24,13.08,19.19
AALF000024,,1.07,1.65,0.47,0
AALF000026,,0,0,0,0
AALF000027,,0,0,0,0
AALF000028,,53.55,13.75,20.41,31.19
AALF000029,,0,0,0,0
AALF000030,,6.24,5.62,3.84,4.75
AALF000031,,0,2.66,0,0
AALF000032,,19.69,18.12,17.29,4.15
AALF000035,,0,0,0,0
AALF000039,,11.16,3.73,2.45,4.23
AALF000040,,0,0,0,0
AALF000041,,0,0,0,0
AALF000044,,0,0,0,2.61
AALF000045,,0,0,0,0
AALF000046,,0,0,0,0
AALF000052,,35.1,16.47,12.68,6.16
AALF000053,,1.33,1.23,0,0
AALF000054,,0,0,0,0
AALF000055,,35.69,10.63,8.29,3.48
AALF000057,,0,0.34,1.48,1.31
AALF000058,,0,0,0,0
AALF000065,,109.31,108.4,55.85,12.91
AALF000066,,18.3,4.26,14.51,0
AALF000067,,56.94,16.47,12.85,16.17
AALF000068,,79.61,43.02,46.33,47.32
AALF000070,,34.85,20.78,14.14,10.63
AALF000071,,3.02,0,0.88,0
AALF000072,,10.99,2.92,3.21,0.86
AALF000076,,0,0,0,2.35
AALF000077,,2.54,3.28,1.17,0
AALF000078,,0.47,0,0,0
AALF000079,,0,0,0,0
AALF000084,,0,0,0,0
AALF000085,,0,0,0,0
AALF000086,,0,0,0,0
AALF000087,,0,0,0,0
AALF000088,,0,0,0,0
AALF000089,,265.41,221.46,236.77,233.28
AALF000091,,0,0.68,0,0.54
AALF000093,,0,0,0,0
AALF000094,,0,0,0,0.57
AALF000101,,31.93,25.94,42.47,48.72
AALF000102,,265.08,415.84,376.88,371.48
AALF000103,,236.98,165.95,161.71,173.77
AALF000104,,63.49,64.24,68.67,59.39
AALF000105,,76.34,24.04,28.67,28.76
AALF000106,,0,0.92,0,0
AALF000107,,206.26,192.46,209.66,188.5
AALF000108,,50.59,40.43,42.82,4.85
AALF000109,,3.87,1.19,1.7,10.89
AALF000112,,4762.3,6591.77,6399.24,6828.58
AALF000113,,51.33,11.04,6.15,8.43
AALF000114,,99.58,49.1,56.6,40.61
AALF000118,,1.69,0,0,1.78
AALF000119,,5.49,0,0,1.16
AALF000120,,29.82,35.51,31.89,33.48
AALF000121,,20.81,11.91,2.96,7.11
AALF000122,,5.1,0.2,1.62,0
AALF000123,,195.24,160.35,194.33,205.55
AALF000124,,10.61,7.52,6.33,1.39
AALF000125,,27,6.31,9.35,6.78
AALF000126,,0.08,0,0,0
AALF000127,,0,0,0,0
AALF000128,,0.54,0,0,0
AALF000129,,3.14,2.89,6.21,8.28
AALF000130,,10.56,19.44,55.63,35.62
AALF000131,,49.74,58.36,66.05,53.3
AALF000142,,4.72,13.04,10.58,7.97
AALF000143,,0.18,1.18,1.45,1.16
AALF000144,,2.64,1.25,1.2,1.77
AALF000149,,0,0,0,0
AALF000151,,0,0,0.73,0
AALF000152,,0.81,0.75,2.14,1.71
AALF000153,,1,0,0,0
AALF000158,,226.04,190.58,128.68,178.3
AALF000161,,0,0.81,1.16,0
AALF000163,,0,0,0,0
AALF000164,,0,0,0,0
AALF000165,,0,0,0,0
AALF000183,,69.97,34.03,30.72,34.78
AALF000184,,31.75,18.3,14.7,17.28
AALF000185,,74.56,65.34,58.12,68.48
AALF000186,,10.2,1.51,8.45,1.91
AALF000189,,6.02,4.62,6.61,6.35
AALF000191,,0,0,0,0
AALF000193,,139.1,58.75,43.25,24.89
AALF000203,,26.54,14.47,11.88,3.53
AALF000205,,0,0,0,0
AALF000207,,0,0.19,0,0
AALF000208,,11.59,11.11,7.21,19.61
AALF000218,,0.93,0,0,0
AALF000219,,0,0,0,0
AALF000220,,1.64,1.15,1.04,1.41
AALF000221,,0,0,0,0
AALF000223,,13.75,10.2,14.59,11.27
AALF000224,,25.93,3.22,7.69,2.71
AALF000225,,49.13,52.81,44.66,42.61
AALF000226,,129.05,80.6,84.98,72.87
AALF000228,,111.64,20.34,26.04,24.52
AALF000237,,8.57,8.76,12.54,13.05
AALF000243,,82.85,109.46,87.12,7.75
AALF000244,,0,0,0,0
AALF000245,,105.19,31.54,34.03,16.12
AALF000246,,1.68,3.47,0.55,1.77
AALF000247,,477.17,433.68,503.82,502.95
AALF000248,,31.49,7.7,4.2,4.2
AALF000255,,0,0,0,0
AALF000265,,2.8,0.37,1.05,0.95
AALF000266,,122.2,80.86,59.91,59.7
AALF000267,,1174.39,1703.7,1620.34,1604.74
AALF000268,,0,0,0,1.96
AALF000271,,0,0,0,0
AALF000272,,0.4,0,0.26,0
AALF000273,,7.54,110.84,148.42,0
AALF000274,,0.44,0,0,0.46
AALF000275,,0,0,0,0
AALF000277,,96.84,83.25,89.7,89.73
AALF000278,,1.14,0.52,0,0
AALF000279,,899.26,767.86,867.95,930.06
AALF000280,,0,0,0,0
AALF000281,,0,0,0,0
AALF000282,,0,0,0,0.85
AALF000283,,0,0,0,0
AALF000284,,0,0,0,0
AALF000285,,0,0,0.99,0
AALF000286,,0,0,0,0
AALF000287,,0,0,0,0
AALF000288,,0,0,0,0
AALF000296,,0,0,0,0
AALF000301,,12.15,4.92,7.04,3.59
AALF000302,,0,0,0,0
AALF000303,,7.85,2.96,6.11,2.26
AALF000304,,14.73,1.86,8.37,2.44
AALF000306,,9.31,10.74,9.48,7.16
AALF000311,,50.96,16.75,13.01,13.16
AALF000312,,19.82,7.17,3.52,0.94
AALF000313,,20.35,5.77,0,10.75
AALF000314,,45.07,50.87,42.73,38.14
AALF000315,,0,0.37,0,0
AALF000316,,0,0.88,0,0
AALF000322,,20.91,8.6,8.2,10.32
AALF000323,,62.06,62.52,66.27,62.76
AALF000324,,23.94,7.49,11.56,11.44
AALF000330,,0,0,0,0
AALF000338,,1.07,2.27,3.19,2.41
AALF000339,,48.28,15.32,12.32,14.24
AALF000340,,109.87,98.39,90.74,107.61
AALF000341,,17.72,3.73,1.41,0.88
AALF000342,,3.14,4.1,2.11,3.81
AALF000343,,78.68,50.57,57.08,59.15
AALF000344,,8.86,4.45,7.17,6.64
AALF000345,,21.78,16.55,15.43,11.25
AALF000346,,0,0,0,0
AALF000347,,0,0,0,0
AALF000348,,0,0,0,0
AALF000349,,0,0,0,0
AALF000354,,5.07,3.55,0.96,0.28
AALF000357,,14.57,0,1.48,1.18
AALF000358,,21.7,1.77,6.87,1.45
AALF000359,,87.29,33.03,34.86,35.14
AALF000360,,4.26,1.42,0.81,1.3
AALF000361,,34.91,34.25,25.26,26.48
AALF000362,,4.29,1.1,2.76,2.57
AALF000363,,5.14,7.35,9.24,6.06
AALF000364,,10.21,0,2.24,0.67
AALF000368,,10.08,1.73,0,0
AALF000369,mRpL13,200.84,104.22,109.74,132.87
AALF000370,,3.89,2.15,1.37,0.27
AALF000371,,57.28,30.6,34.32,3.55
AALF000377,,44.42,20.62,21.67,16.72
AALF000378,,36.55,41.86,31.26,41.65
AALF000379,,5.48,4.03,4.33,0.58
AALF000385,,6.2,2.8,2.69,3.34
AALF000386,,71.07,19.38,18.32,17.44
AALF000387,,17.68,5.99,8.58,6.86
AALF000388,,278.25,171.34,93.61,110.67
AALF000389,,6.92,7.01,5.47,2.55
AALF000390,,0.78,0,1.54,0.82
AALF000391,,0,0,0,0
AALF000392,,0.59,8.51,13.53,0
AALF000393,,21.43,4.46,3.46,3.41
AALF000394,,30.71,2.28,1.96,1.04
AALF000395,,110.53,140.3,137.81,128.91
AALF000396,,33.41,18.21,22,19.46
AALF000397,,1.9,0,1.25,0
AALF000400,,0,0,0,4.01
AALF000401,,0,0,0.27,0
AALF000405,,53.2,8.88,10.39,2.46
AALF000406,,28.97,1.18,2.24,2.25
AALF000407,,24.18,1.85,3.18,3.4
AALF000408,,8.25,10.97,2.42,1.93
AALF000413,,26.43,3.26,5.76,2.41
AALF000414,,14.92,2.69,1.28,4.1
AALF000415,,2.14,0.74,0.35,0
AALF000416,,8.08,0,2.66,2.13
AALF000417,,11.42,3.34,0.68,1.64
AALF000418,,70.37,32.38,48.72,43.74
AALF000419,,1.97,5.88,4.53,6.22
AALF000420,,22.24,25.97,25.62,25.22
AALF000421,,11.57,7.81,14.05,8.59
AALF000422,,4.47,4.7,6.72,7.4
AALF000423,,1.77,2.33,2.1,1.08
AALF000424,,0.7,1.34,2.45,2.32
AALF000426,,1.97,0,0,0
AALF000431,,176.86,77.51,76.3,83.66
AALF000432,,0.35,0,0,0.18
AALF000433,,0,0,0,0
AALF000437,,0,0,0,0
AALF000438,,0,0,0,0
AALF000439,,2.33,2.57,1.23,0
AALF000440,,0,0,0,0
AALF000442,,5.2,1.95,7.59,4.59
AALF000443,,10.94,2.01,0.58,3.69
AALF000446,,0,0,0,0
AALF000451,,0,0,0,0
AALF000453,,0.76,0,0,0
AALF000455,,0,0,0,0
AALF000456,,0,0,0,0
AALF000457,,27.61,54.83,54.23,3.57
AALF000464,,0,0,0,0
AALF000470,,80.66,110.46,88.48,95.82
AALF000475,,0,1.24,1.77,1.42
AALF000476,,0.53,0,0,0.56
AALF000477,,1.8,2.07,0,2.09
AALF000478,,0,0,2.05,0
AALF000479,,0,0,0,1.62
AALF000487,,2.78,4.72,1.42,0.38
AALF000489,,68.17,25.9,31.56,36.11
AALF000490,,6.09,5.92,5.73,0
AALF000491,RpS28,0,0,0,0
AALF000498,,15.94,2.69,4.28,3.77
AALF000499,,0,0,0,0
AALF000500,,0,0,0,0
AALF000501,,12.56,15.9,16.55,1.66
AALF000518,,0,1.57,0,0
AALF000519,,0,0,0,0
AALF000520,,0,0,0,1.46
AALF000521,,0,0,0,0
AALF000522,,0,0,0,0.73
AALF000523,,13,8.7,10.9,1.25
AALF000529,,92.77,86.44,78.65,96.87
AALF000530,,20.17,14.09,14.76,12.2
AALF000531,,0.76,0,0,0
AALF000533,,21.34,30.71,24.27,18.23
AALF000534,,0,0,0,0
AALF000537,,29.55,1.18,2.54,0.68
AALF000538,,104.59,117.35,110.39,101.93
AALF000539,,59.72,42.28,48.4,75.86
AALF000544,,0,0,0,0
AALF000545,,1.59,0,0,0
AALF000550,,0,0,0,0
AALF000551,,0,0,0,0
AALF000552,,36.26,25.21,22.68,17.87
AALF000553,,34.66,13.57,24.53,3.82
AALF000554,,0,0,0,0
AALF000555,,2.03,0,0,3.68
AALF000556,,76.03,41.61,54.62,40.68
AALF000557,,0,0,0,0
AALF000558,,0.59,3.77,0,2.47
AALF000559,,0,0,0,0
AALF000560,,0.23,0.83,2.08,0.3
AALF000561,,14.75,3.39,9.71,0
AALF000562,,23.62,2.64,5.66,2.64
AALF000563,,80.76,33.42,31.41,41.13
AALF000565,,0.58,0.53,0,0
AALF000566,,10.94,3.55,1.49,1.35
AALF000567,,0,0,0,1.63
AALF000568,,1.47,1.01,0.97,0
AALF000569,,10.02,1.9,2.48,3.37
