virus	host	realm
Acidianus filamentous virus 2	archaea	Adnaviria
Acidianus filamentous virus 6	archaea	Adnaviria
Acidianus filamentous virus 7	archaea	Adnaviria
Acidianus filamentous virus 8	archaea	Adnaviria
Acidianus filamentous virus 9	archaea	Adnaviria
Acidianus rod-shaped virus 1	archaea	Adnaviria
Acidianus rod-shaped virus 2	archaea	Adnaviria
Captovirus AFV1	archaea	Adnaviria
Pyrobaculum filamentous virus 1	archaea	Adnaviria
Sulfolobales Beppu filamentous virus 2	archaea	Adnaviria
Sulfolobales Beppu filamentous virus 3	archaea	Adnaviria
Sulfolobus filamentous virus 1	archaea	Adnaviria
Sulfolobus islandicus filamentous virus	archaea	Adnaviria
Sulfolobus islandicus rod-shaped phage 6	archaea	Adnaviria
Sulfolobus islandicus rod-shaped virus 5	archaea	Adnaviria
Sulfolobus islandicus rod-shaped virus 1	archaea	Adnaviria
Sulfolobus islandicus rod-shaped virus 10	archaea	Adnaviria
Sulfolobus islandicus rod-shaped virus 11	archaea	Adnaviria
Sulfolobus islandicus rod-shaped virus 2	archaea	Adnaviria
Sulfolobus islandicus rod-shaped virus 4	archaea	Adnaviria
Sulfolobus islandicus rod-shaped virus 7	archaea	Adnaviria
Sulfolobus islandicus rod-shaped virus 8	archaea	Adnaviria
Sulfolobus islandicus rod-shaped virus 9	archaea	Adnaviria
Sulfolobus islandicus rudivirus 3	archaea	Adnaviria
Thermoproteus tenax virus 1	archaea	Adnaviria
Ageratum conyzoides associated symptomless alphasatellite	land plants	Alphasatellitidae
Ageratum conyzoides symptomless alphasatellite	land plants	Alphasatellitidae
Ageratum enation alphasatellite	land plants	Alphasatellitidae
Ageratum leaf curl Cameroon alphasatellite	land plants	Alphasatellitidae
Ageratum yellow vein China alphasatellite	land plants	Alphasatellitidae
Ageratum yellow vein India alphasatellite	land plants	Alphasatellitidae
Ageratum yellow vein Pakistan alphasatellite	land plants	Alphasatellitidae
Ageratum yellow vein Singapore alphasatellite	land plants	Alphasatellitidae
Ageratum yellow vein alphasatellite	land plants	Alphasatellitidae
Banana bunchy top alphasatellite 3	land plants	Alphasatellitidae
Bendhi Yellow Vein Mosaic/Mesta Yellow Vein Mosaic alphasatellite	land plants	Alphasatellitidae
Bhendi yellow vein mosaic alphasatellite	land plants	Alphasatellitidae
Bhendi yellow vein mosaic virus-associated alphasatellite	land plants	Alphasatellitidae
Bhindi yellow vein alphasatellite	land plants	Alphasatellitidae
Black medic leafroll alphasatellite 1	land plants	Alphasatellitidae
Cardamom bushy dwarf alphasatellite	land plants	Alphasatellitidae
Cassava mosaic Madagascar alphasatellite	land plants	Alphasatellitidae
Chilli leaf curl India alphasatellite	land plants	Alphasatellitidae
Chilli leaf curl Multan alphasatellite	land plants	Alphasatellitidae
Chilli leaf curl alphasatellite	land plants	Alphasatellitidae
Cleome leaf crumple alphasatellite	land plants	Alphasatellitidae
Coconut foliar decay alphasatellite 2	land plants	Alphasatellitidae
Coconut foliar decay alphasatellite 3	land plants	Alphasatellitidae
Coconut foliar decay alphasatellite 4	land plants	Alphasatellitidae
Coconut foliar decay alphasatellite 5	land plants	Alphasatellitidae
Coconut foliar decay alphasatellite 6	land plants	Alphasatellitidae
Coconut foliar decay alphasatellite 7	land plants	Alphasatellitidae
Cotton leaf curl Burewala alphasatellite	land plants	Alphasatellitidae
Cotton leaf curl Gezira alphasatellite	land plants	Alphasatellitidae
Cotton leaf curl Lucknow alphasatellite	land plants	Alphasatellitidae
Cotton leaf curl Multan alphasatellite	land plants	Alphasatellitidae
Croton yellow vein mosaic alphasatellite	land plants	Alphasatellitidae
Cucurbit yellow mosaic alphasatellite	land plants	Alphasatellitidae
Euphorbia yellow mosaic virus associated DNA 1	land plants	Alphasatellitidae
Faba bean necrotic stunt alphasatellite 1	land plants	Alphasatellitidae
Faba bean necrotic stunt alphasatellite 2	land plants	Alphasatellitidae
Faba bean necrotic yellows C1 alphasatellite	land plants	Alphasatellitidae
