virus	type	shape
Human alphaherpesvirus 2	DNA	linear
Borna disease virus 2	RNA	linear
Canary bornavirus 2	RNA	linear
Aquatic bird bornavirus 1	RNA	linear
Borna disease virus 1	RNA	linear
High Plains wheat mosaic emaravirus	RNA	linear
High Plains wheat mosaic emaravirus	RNA	linear
High Plains wheat mosaic emaravirus	RNA	linear
High Plains wheat mosaic emaravirus	RNA	linear
High Plains wheat mosaic emaravirus	RNA	linear
High Plains wheat mosaic emaravirus	RNA	linear
High Plains wheat mosaic emaravirus	RNA	linear
High Plains wheat mosaic emaravirus	RNA	linear
Raspberry leaf blotch emaravirus	RNA	linear
Raspberry leaf blotch emaravirus	RNA	linear
Raspberry leaf blotch emaravirus	RNA	linear
Raspberry leaf blotch emaravirus	RNA	linear
Raspberry leaf blotch emaravirus	RNA	linear
Raspberry leaf blotch emaravirus	RNA	linear
Raspberry leaf blotch emaravirus	RNA	linear
Raspberry leaf blotch emaravirus	RNA	linear
Fig mosaic emaravirus	RNA	linear
Fig mosaic emaravirus	RNA	linear
Fig mosaic emaravirus	RNA	linear
Fig mosaic emaravirus	RNA	linear
Fig mosaic emaravirus	RNA	linear
Fig mosaic emaravirus	RNA	linear
Pigeonpea sterility mosaic emaravirus 1	RNA	linear
Pigeonpea sterility mosaic emaravirus 1	RNA	linear
Pigeonpea sterility mosaic emaravirus 1	RNA	linear
Pigeonpea sterility mosaic emaravirus 1	RNA	linear
Pigeonpea sterility mosaic emaravirus 1	RNA	linear
Blueberry shoestring virus	RNA	linear
Lake Sarah-associated circular virus-28	DNA	circular
Aquatic bird bornavirus 2	RNA	linear
Equus caballus papillomavirus 3	DNA	linear
Bat sapovirus TLC58/HK	RNA	linear
Nariva virus	RNA	linear
Grapevine deformation virus	RNA	linear
Grapevine deformation virus	RNA	linear
Cotton leaf curl Shahdadpur virus	DNA	circular
Cyrtanthus elatus virus A	RNA	linear
Hippeastrum mosaic virus	RNA	linear
Sweet potato virus 2	RNA	linear
Persimmon cryptic virus	RNA	linear
Persimmon cryptic virus	RNA	linear
Sida yellow mosaic China virus - [Hainan 8]	DNA	circular
Human papillomavirus 135	DNA	circular
Human papillomavirus 136	DNA	circular
Ixeridium yellow mottle virus 1	RNA	linear
Pig stool associated circular ssDNA virus GER2011	DNA	circular
Artemisia virus A	RNA	linear
Maize streak Reunion virus	DNA	circular
Tomato yellow leaf distortion virus	DNA	circular
Tomato yellow leaf distortion virus	DNA	linear
Human papillomavirus type 137	DNA	circular
