virus,realm,locus_tag,host,type,shape,corr,p.value
Shigella phage pSs-1,Duplodnaviria,pSs1,bacteria,DNA,circular,-0.548392752776154,9.84782353366479e-06
Escherichia phage ST32,Duplodnaviria,HOR81,bacteria,DNA,circular,-0.451373465809468,0.000382959780080052
Canary circovirus,Monodnaviria,CaCVgp,vertebrates,DNA,circular,-0.235473253560553,0.0753084690455309
Enterococcus phage phiEf11,Duplodnaviria,PHIEF11,bacteria,DNA,linear,-0.524488603156049,2.66926872379447e-05
Camelpox virus,Varidnaviria,CamMLVgp,human:vertebrates,DNA,linear,-0.529631794272355,2.16590614042895e-05
Brown greater galago prosimian foamy virus,Riboviria,D1U22,vertebrates,DNA,linear,-0.48947983635301,0.000102394849091942
Escherichia phage HZP2,Duplodnaviria,HOV21,bacteria,DNA,linear,-0.271654003506721,0.0377284172533624
Mycobacterium phage DillTech15,Duplodnaviria,I5H27,bacteria,DNA,linear,0.419754529514904,0.00103162804350691
Passerivirus sp.,NA,C1173,NA,RNA,linear,-0.313091759205143,0.0160996359467927
Mongoose feces-associated gemycircularvirus c,Monodnaviria,XM20,human:vertebrates,DNA,linear,-0.291992986557569,0.0251836759466696
White-eye coronavirus HKU16,Riboviria,WECoV,vertebrates,RNA,linear,-0.572063120981882,3.4337995021418e-06
Hubei sobemo-like virus 3,Riboviria,BVB24,vertebrates,RNA,linear,0.0800116890707189,0.545940238657922
Boerhavia yellow spot virus,Monodnaviria,D1Q62,land plants,DNA,circular,-0.177849210987727,0.177344739448624
Human betaherpesvirus 7,Duplodnaviria,HHV7,human,DNA,linear,-0.543950905902981,1.19123240741145e-05
Gordonia phage MelBins,Duplodnaviria,J1771,bacteria,DNA,linear,0.496376388077148,7.93957057018331e-05
crAssphage cr111 1,NA,KNV38,NA,NA,NA,-0.481531268264173,0.000136443563496286
Corynebacterium phage phi673,Duplodnaviria,FGG65,bacteria,DNA,linear,-0.243366452367037,0.063454535357132
Detrevirus PMG1,Duplodnaviria,PMG1,bacteria,NA,NA,0.323845704266511,0.0126717418002623
Drosophila subobscura Nora virus,Riboviria,IU36,invertebrates,RNA,linear,-0.523611922852133,2.76522846074805e-05
